influx tag,"Antenna
name",Cosmic ray subarray,"Antenna
type",Latitude ITRF2000(1997.0),Longitude  ITRF2000(1997.0),Elevation (meters HAE),X (m),Y (m),"Used in
LWA-352",Online,Pol A FEE #,Pol B FEE #,Pol A Ant cable status,Pol B Ant cable status,"ARX board
location #",ARX Serial Number,ARX board address,"Pol A ARX
channel #",,"Pol B ARX
channel #",,"SNAP2
board ID","SNAP2
chassis #","SNAP2
location #",SNAP2 MAC Address,"SNAP2
hostname",FMC #,"Pol A digitizer
channel #","Pol B digitizer
channel #",Pol A FPGA Input #,Pol B FPGA Input #,Correlator number,Notes,,,
dict_key,antname,,ant_type,latitude,longitude,elevation,x,y,used,online,pola_fee,polb_fee,pola_resistance,polb_resistance,arx_location,arx_serial,arx_address,pola_arx_channel,check1,polb_arx_channel,check2,snap2_serial,snap2_chassis,snap2_location,snap2_mac,snap2_hostname,fmc,pola_digitizer_channel,polb_digitizer_channel,pola_fpga_num,polb_fpga_num,corr_num,notes,,,
,LWA-068,I,Coaxial,37.24046833,-118.2813322,1182.69,29.68,76.70,YES,YES,0337,0566,OK,OK,25,31,25,13,2513,14,2514,6,1,6,02:00:c2:4f:e4:75,snap06.sas.pvt,0,14,15,12,13,166,FEE installed 11/03/2021,,,
,LWA-110,H,Coaxial,37.23988883,-118.2816766,1182.86,-0.88,12.38,YES,YES,0619,0367,OK,OK,29,24,29,5,2905,6,2906,8,2,7,00:00:d6:de:e4:75,snap07.sas.pvt,0,14,15,12,13,198,FEE installed on 11/04/2021,,,
,LWA-153,B,Coaxial,37.23945389,-118.281772,1182.76,-9.34,-35.89,YES,YES,0109,0352,OK,OK,32,20,32,15,3215,16,3216,3,2,8,00:00:b3:f2:e4:75,snap08.sas.pvt,0,14,15,12,13,230,FEE installed on 11/03/2021,,,
,LWA-161,F,Coaxial,37.24068092,-118.2820633,1182.88,-35.19,100.29,YES,YES,0414,0161,OK,OK,36,41,36,3,3603,4,3604,1,2,9,02:00:ce:ca:e4:6f,snap09.sas.pvt,0,14,15,12,13,262,FEE installed on 11/04/2021,,,
,LWA-204,D,Coaxial,37.24002796,-118.2822074,1183.36,-47.98,27.82,YES,YES,0104,0358,OK,OK,39,44,39,9,3909,10,3910,2,2,10,00:00:41:1e:e4:75,snap10.sas.pvt,0,14,15,12,13,294,FEE installed on 11/04/2021,,,
,LWA-212,E,Coaxial,37.23961135,-118.2821331,1183.10,-41.39,-18.41,YES,YES,0121,0340,OK,OK,42,47,42,15,4215,16,4216,4,2,11,00:00:b3:fc:e4:6f,snap11.sas.pvt,0,14,15,12,13,326,FEE installed on 11/04/2021,,,
,LWA-272,K,Fiber,37.24350098,-118.2912211,1182.29,-847.73,413.27,YES,YES,439,190,,,5,4101,5,13,513,14,514,12,1,2,02:00:d4:5b:e4:75,snap02.sas.pvt,0,14,15,12,13,38,,,,
,LWA-276,J,Fiber,37.24492776,-118.2877484,1184.64,-539.60,571.62,YES,YES,616,690,,,1,4102,1,15,115,16,116,13,1,1,00:00:4e:e4:ef:75,snap01.sas.pvt,0,14,15,12,13,6,,,,
,LWA-007,G,Coaxial,37.24010083,-118.2806376,1183.13,91.31,35.91,YES,YES,0265,1363,OK,OK,15,40,15,15,1515,16,1516,10,1,3,02:00:a6:4e:e4:6f,snap03.sas.pvt,0,12,13,14,15,71,FEE installed 10/28/2021,,,
,LWA-019,A,Coaxial,37.23964627,-118.2809285,1182.55,65.50,-14.54,YES,YES,0218,1376,OK,OK,19,35,19,3,1903,4,1904,7,1,4,00:00:08:4b:e4:6f,snap04.sas.pvt,0,12,13,14,15,103,FEE installed 10/29/2021,,,
,LWA-056,C,Coaxial,37.23946541,-118.2812349,1182.50,38.32,-34.61,YES,YES,0584,0188,OK,OK,22,30,22,7,2207,8,2208,5,1,5,00:00:18:2d:e4:75,snap05.sas.pvt,0,12,13,14,15,135,FEE installed 11/01/2021,,,
,LWA-067,I,Coaxial,37.24052694,-118.2814021,1182.72,23.48,83.20,YES,YES,0184,0120,OK,OK,25,31,25,11,2511,12,2512,6,1,6,02:00:c2:4f:e4:75,snap06.sas.pvt,0,12,13,14,15,167,FEE installed 11/01/2021,,,
